"Method","Path","Tags","OperationId","Auth","Params","BodySchema","Responses","Summary"
"PUT","/api/tasks/{taskId}","Api","OrgBackendFeaturesTasksUpdateTaskEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesTasksUpdateTaskRequest","200:#/components/schemas/OrgSharedFeaturesTasksTaskDto, 401, 403",
"PUT","/api/tasks/{taskId}/assign","Api","OrgBackendFeaturesTasksUpdateTaskAssignEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesTasksAssignTaskRequest","200:#/components/schemas/OrgSharedFeaturesTasksTaskDto, 401, 403",
"POST","/api/tasks/{taskId}/restore","Api","OrgBackendFeaturesTasksRestoreTaskEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesTasksTaskDto, 401, 403",
"PUT","/api/tasks/{taskId}/status","Api","OrgBackendFeaturesTasksUpdateTaskStatusEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesTasksUpdateTaskStatusRequest","200:#/components/schemas/OrgSharedFeaturesTasksTaskDto, 401, 403",
"GET","/api/users/{id}","Api","OrgBackendFeaturesUsersGetUserByIdEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesUsersGetUserByIdResponse, 401, 403",
"POST","/api/users/{id}/friend-request","Api","OrgBackendFeaturesUsersSendFriendRequestEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesUsersFriendRequestDto, 401, 403",
"POST","/api/users/batch","Api","OrgBackendFeaturesUsersGetUserProfilesBatchEndpoint","Anonymous/Inherited","","array","200:#/components/schemas/OrgSharedFeaturesUsersGetUserProfilesBatchResponse, 401, 403",
"GET","/api/users/me","Api","OrgBackendFeaturesUsersGetCurrentUserProfileEndpoint","Anonymous/Inherited","","","200:#/components/schemas/OrgSharedFeaturesUsersGetCurrentUserProfileResponse, 401, 403",
"PUT","/api/users/me","Api","OrgBackendFeaturesUsersUpdateCurrentUserProfileEndpoint","Anonymous/Inherited","","#/components/schemas/OrgSharedFeaturesUsersUpdateCurrentUserProfileRequest","200:#/components/schemas/OrgSharedFeaturesUsersUserProfileDto, 401, 403",
"PUT","/api/users/me/change-password","Api","OrgBackendFeaturesUsersChangePasswordEndpoint","Anonymous/Inherited","","#/components/schemas/OrgSharedFeaturesUsersChangePasswordRequest","204, 401, 403",
"GET","/api/users/me/discover/events","Api","OrgBackendFeaturesEventsGetSuggestedEventsEndpoint","Anonymous/Inherited","","","200:#/components/schemas/OrgSharedFeaturesUsersGetSuggestedEventsResponse, 401, 403",
"GET","/api/users/me/discover/organizations","Api","OrgBackendFeaturesUsersGetSuggestedOrganizationsEndpoint","Anonymous/Inherited","","","200:#/components/schemas/OrgSharedFeaturesUsersGetSuggestedOrganizationsResponse, 401, 403",
"GET","/api/users/me/events","Api","OrgBackendFeaturesEventsGetMyRegisteredEventsEndpoint","Anonymous/Inherited","","","200:#/components/schemas/OrgSharedFeaturesUsersGetMyRegisteredEventsResponse, 401, 403",
"GET","/api/users/me/friend-requests","Api","OrgBackendFeaturesUsersGetFriendRequestsEndpoint","Anonymous/Inherited","","","200:#/components/schemas/OrgSharedFeaturesUsersGetFriendRequestsResponse, 401, 403",
"DELETE","/api/users/me/friend-requests/{id}","Api","OrgBackendFeaturesUsersRejectFriendRequestEndpoint","Anonymous/Inherited","(:string)","","204, 401, 403",
"PUT","/api/users/me/friend-requests/{id}/accept","Api","OrgBackendFeaturesUsersAcceptFriendRequestEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesUsersFriendRequestDto, 401, 403",
"GET","/api/users/me/friends","Api","OrgBackendFeaturesUsersGetFriendsEndpoint","Anonymous/Inherited","","","200:#/components/schemas/OrgSharedFeaturesUsersGetFriendsResponse, 401, 403",
"DELETE","/api/users/me/friends/{id}","Api","OrgBackendFeaturesUsersUnfriendEndpoint","Anonymous/Inherited","(:string)","","204, 401, 403",
"GET","/api/users/me/organizations","Api","OrgBackendFeaturesUsersGetMyOrganizationsEndpoint","Anonymous/Inherited","","","200:#/components/schemas/OrgSharedFeaturesUsersGetMyOrganizationsResponse, 401, 403",
