POST	/api/posts	OrgBackendFeaturesPostsCreatePostEndpoint	Api
GET	/api/organizations/{orgId}/posts	OrgBackendFeaturesPostsGetOrganizationPostsEndpoint	Api
GET	/api/posts/discover	OrgBackendFeaturesPostsGetDiscoverPostsEndpoint	Api
GET	/api/posts/{id}	OrgBackendFeaturesPostsGetPostByIdEndpoint	Api
DELETE	/api/posts/{id}	OrgBackendFeaturesPostsDeletePostEndpoint	Api
GET	/api/organizations	OrgBackendFeaturesOrganizationsGetOrganizationsEndpoint	Api
POST	/api/organizations	OrgBackendFeaturesOrganizationsCreateOrganizationEndpoint	Api
GET	/api/organizations/default	OrgBackendFeaturesOrganizationsGetDefaultOrganizationEndpoint	Api
GET	/api/organizations/{id}	OrgBackendFeaturesOrganizationsGetOrganizationByIdEndpoint	Api
PUT	/api/organizations/{id}	OrgBackendFeaturesOrganizationsUpdateOrganizationEndpoint	Api
DELETE	/api/organizations/{id}	OrgBackendFeaturesOrganizationsDeleteOrganizationEndpoint	Api
POST	/api/organizations/{id}/restore	OrgBackendFeaturesOrganizationsRestoreOrganizationEndpoint	Api
GET	/api/organizations/{id}/public-overview	OrgBackendFeaturesOrganizationsGetPublicOrganizationOverviewEndpoint	Api
GET	/api/organizations/{id}/permissions/me	OrgBackendFeaturesOrganizationsGetOrganizationPermissionsMeEndpoint	Api
GET	/api/organizations/{id}/permissions	OrgBackendFeaturesOrganizationsGetOrganizationPermissionsCatalogEndpoint	Api
GET	/api/organizations/{id}/roles	OrgBackendFeaturesOrganizationsGetOrganizationRolesEndpoint	Api
POST	/api/organizations/{id}/roles	OrgBackendFeaturesOrganizationsCreateOrganizationRoleEndpoint	Api
PUT	/api/organizations/roles/{roleId}	OrgBackendFeaturesOrganizationsUpdateOrganizationRoleEndpoint	Api
DELETE	/api/organizations/roles/{roleId}	OrgBackendFeaturesOrganizationsDeleteOrganizationRoleEndpoint	Api
POST	/api/organizations/{id}/members/{memberId}/role	OrgBackendFeaturesOrganizationsAssignRoleToOrganizationMemberEndpoint	Api
GET	/api/notifications	OrgBackendFeaturesNotificationsGetNotificationsEndpoint	Api
GET	/api/notifications/unread-count	OrgBackendFeaturesNotificationsGetUnreadCountEndpoint	Api
GET	/api/notifications/{id}	OrgBackendFeaturesNotificationsGetNotificationByIdEndpoint	Api
DELETE	/api/notifications/{id}	OrgBackendFeaturesNotificationsDeleteNotificationEndpoint	Api
PUT	/api/notifications/{id}/read	OrgBackendFeaturesNotificationsMarkAsReadEndpoint	Api
PUT	/api/notifications/read-all	OrgBackendFeaturesNotificationsMarkAllAsReadEndpoint	Api
DELETE	/api/notifications/clear-all	OrgBackendFeaturesNotificationsClearAllNotificationsEndpoint	Api
POST	/api/events/{eventId}/milestones	OrgBackendFeaturesMilestonesCreateMilestoneEndpoint	Api
GET	/api/events/{eventId}/milestones	OrgBackendFeaturesMilestonesGetMilestonesEndpoint	Api
GET	/api/milestones/{id}	OrgBackendFeaturesMilestonesGetMilestoneByIdEndpoint	Api
PUT	/api/milestones/{id}	OrgBackendFeaturesMilestonesUpdateMilestoneEndpoint	Api
DELETE	/api/milestones/{id}	OrgBackendFeaturesMilestonesDeleteMilestoneEndpoint	Api
POST	/api/milestones/{id}/restore	OrgBackendFeaturesMilestonesRestoreMilestoneEndpoint	Api
GET	/api/organizations/{orgId}/members	OrgBackendFeaturesMembersGetMembersEndpoint	Api
POST	/api/organizations/{orgId}/members	OrgBackendFeaturesMembersCreateMemberEndpoint	Api
PUT	/api/members/{id}/role	OrgBackendFeaturesMembersUpdateMemberRoleEndpoint	Api
PUT	/api/members/{id}/department	OrgBackendFeaturesMembersUpdateMemberDepartmentEndpoint	Api
DELETE	/api/members/{id}	OrgBackendFeaturesMembersDeleteMemberEndpoint	Api
POST	/api/organizations/{orgId}/leave	OrgBackendFeaturesMembersLeaveOrganizationEndpoint	Api
GET	/api/organizations/{orgId}/events	OrgBackendFeaturesEventsGetOrganizationEventsEndpoint	Api
GET	/api/users/me/events	OrgBackendFeaturesEventsGetMyRegisteredEventsEndpoint	Api
GET	/api/users/me/discover/events	OrgBackendFeaturesEventsGetSuggestedEventsEndpoint	Api
POST	/api/events	OrgBackendFeaturesEventsCreateEventEndpoint	Api
GET	/api/events/{id}	OrgBackendFeaturesEventsGetEventByIdEndpoint	Api
PUT	/api/events/{id}	OrgBackendFeaturesEventsUpdateEventEndpoint	Api
DELETE	/api/events/{id}	OrgBackendFeaturesEventsDeleteEventEndpoint	Api
POST	/api/events/{id}/restore	OrgBackendFeaturesEventsRestoreEventEndpoint	Api
PUT	/api/events/{id}/visibility	OrgBackendFeaturesEventsUpdateEventVisibilityEndpoint	Api
GET	/api/events/public	OrgBackendFeaturesEventsGetPublicEventsEndpoint	Api
GET	/api/events/{id}/public	OrgBackendFeaturesEventsGetPublicEventByIdEndpoint	Api
POST	/api/events/{eventId}/ratings	OrgBackendFeaturesEventsCreateEventRatingEndpoint	Api
GET	/api/events/{eventId}/ratings	OrgBackendFeaturesEventsGetEventRatingsEndpoint	Api
GET	/api/events/{eventId}/ratings/stats	OrgBackendFeaturesEventsGetEventRatingStatsEndpoint	Api
DELETE	/api/ratings/{id}	OrgBackendFeaturesEventsDeleteEventRatingEndpoint	Api
POST	/api/milestones/{milestoneId}/categories	OrgBackendFeaturesEventCategoriesCreateEventCategoryEndpoint	Api
GET	/api/milestones/{milestoneId}/categories	OrgBackendFeaturesEventCategoriesGetEventCategoriesEndpoint	Api
GET	/api/categories/{id}	OrgBackendFeaturesEventCategoriesGetEventCategoryByIdEndpoint	Api
PUT	/api/categories/{id}	OrgBackendFeaturesEventCategoriesUpdateEventCategoryEndpoint	Api
DELETE	/api/categories/{id}	OrgBackendFeaturesEventCategoriesDeleteEventCategoryEndpoint	Api
POST	/api/categories/{id}/restore	OrgBackendFeaturesEventCategoriesRestoreEventCategoryEndpoint	Api
GET	/api/organizations/{orgId}/departments	OrgBackendFeaturesDepartmentsGetDepartmentsEndpoint	Api
GET	/api/departments/{id}	OrgBackendFeaturesDepartmentsGetDepartmentByIdEndpoint	Api
PUT	/api/departments/{id}	OrgBackendFeaturesDepartmentsUpdateDepartmentEndpoint	Api
DELETE	/api/departments/{id}	OrgBackendFeaturesDepartmentsDeleteDepartmentEndpoint	Api
POST	/api/departments	OrgBackendFeaturesDepartmentsCreateDepartmentEndpoint	Api
POST	/api/departments/{id}/restore	OrgBackendFeaturesDepartmentsRestoreDepartmentEndpoint	Api
PUT	/api/departments/{id}/manager	OrgBackendFeaturesDepartmentsUpdateDepartmentManagerEndpoint	Api
GET	/api/departments/{id}/members	OrgBackendFeaturesDepartmentsGetDepartmentMembersEndpoint	Api
POST	/api/departments/{id}/members/{memberId}	OrgBackendFeaturesDepartmentsAssignDepartmentMemberEndpoint	Api
DELETE	/api/departments/{id}/members/{memberId}	OrgBackendFeaturesDepartmentsRemoveDepartmentMemberEndpoint	Api
GET	/api/departments/{id}/tasks/overview	OrgBackendFeaturesDepartmentsGetDepartmentTasksOverviewEndpoint	Api
POST	/api/auth/login	OrgBackendFeaturesAuthLoginEndpoint	Api
GET	/api/auth/me	OrgBackendFeaturesAuthMeEndpoint	Api
POST	/api/auth/register	OrgBackendFeaturesAuthRegisterEndpoint	Api
POST	/api/admin/apply-migration	OrgBackendFeaturesAdminApplyMigrationEndpoint	Api
